model,prior,parameter,mean,sd,2.5%,50%,97.5%,Rhat,base_mean,base_sd,abs_mean_shift,sd_ratio_vs_base
Model1,tight,beta[1],-0.029345311940938743,0.027121594090085164,-0.08036753966614679,-0.029170729443503934,0.024115084728942283,0.9988972118166195,-0.03070302906328815,0.0278905049128945,0.0013577171223494063,0.9724310898920353
Model1,wide,beta[1],-0.030947084851769044,0.029005532280138295,-0.0877382358693119,-0.03152195704397354,0.027043479912782928,0.9989643503974759,-0.03070302906328815,0.0278905049128945,0.00024405578848089513,1.0399787444051718
Model1,tight,beta[2],-0.26476104588561145,0.04223233833799399,-0.3468998649290708,-0.26422042351944103,-0.18146488705273664,1.0018914558421363,-0.26567075689411473,0.04223476297259045,9.097110085032889e-4,0.9999425914951142
Model1,wide,beta[2],-0.2665697771371489,0.04289057091879725,-0.3537318337407221,-0.2652351317078552,-0.18338357896164148,0.9992974715213655,-0.26567075689411473,0.04223476297259045,8.990202430341765e-4,1.0155276814654413
Model1,tight,c[1],-1.7094408276616133,0.20347415005889055,-2.091182944423997,-1.7180283501963505,-1.2924960362348135,1.0003677517811094,-1.7009331112225223,0.2192966730414242,0.008507716439090984,0.9278487778082031
Model1,wide,c[1],-1.6741116392063315,0.22721105239289682,-2.1171748166746815,-1.6765556821466743,-1.218059430610395,1.0009137655785523,-1.7009331112225223,0.2192966730414242,0.026821472016190784,1.03608982864039
Model1,tight,c[2],0.998142555711519,0.19801784828712035,0.6393428194564467,0.9882424283299179,1.4083640038206604,1.0009580313890614,1.010327456122469,0.21420694899436837,0.012184900410950106,0.9244230834562065
Model1,wide,c[2],1.0393932083156183,0.22383815728089482,0.593017653899272,1.0412552728240918,1.4789271820329186,1.000391342957632,1.010327456122469,0.21420694899436837,0.02906575219314922,1.0449621654747514
Model2,tight,alpha[1],0.10631733381102926,0.4785146916494378,-0.8325209500381556,0.09281075894975141,1.0270906666378428,1.004086878497408,0.145325559876235,0.8896712001045615,0.03900822606520574,0.5378556612748606
Model2,wide,alpha[1],0.10565322557080316,1.8716807097563355,-3.632750905415978,0.13709308867647163,3.6403103878416383,0.9988596401224885,0.145325559876235,0.8896712001045615,0.039672334305431836,2.1037892533065703
Model2,tight,alpha[2],-0.031234670679706675,0.4826249721929254,-0.9806399694549186,-0.04407192800594735,0.886793111670189,1.0046170670881436,0.00521339952208383,0.89249291921649,0.03644807020179051,0.5407605615701878
Model2,wide,alpha[2],-0.0465809609864557,1.8683316859748562,-3.6722739711873995,0.0053036127445667686,3.451520743399006,0.9989033165386533,0.00521339952208383,0.89249291921649,0.05179436050853953,2.093385444015673
Model2,tight,alpha[3],0.05320632990514621,0.48557008116859435,-0.9100865408389643,0.026724447296802623,0.9948894297142402,1.004418278104543,0.09326076527957684,0.8888221915929928,0.04005443537443063,0.5463073331892521
Model2,wide,alpha[3],0.045299086127406935,1.8724761528427276,-3.705596822101085,0.07790145383173222,3.6488812268848108,0.998858903429089,0.09326076527957684,0.8888221915929928,0.04796167915216991,2.1066937465712683
Model2,tight,mu_alpha,0.03895919947346168,0.4663332585813691,-0.8888004630555978,0.025855270103349055,0.9469178978820534,1.0027899023483233,0.08234801540956187,0.8811006485143539,0.04338881593610019,0.5292621897029192
Model2,wide,mu_alpha,0.04408924699615752,1.8532889286511964,-3.6386111391917426,0.05062785251998475,3.5859950693583658,0.9989606149214173,0.08234801540956187,0.8811006485143539,0.038258768413404344,2.1033793718981753
Model2,tight,sigma_alpha,0.18263195739819332,0.163665716595569,0.00830530036198727,0.13232152728953978,0.6113486324257859,0.9994810676950416,0.2204388702408151,0.2560014725082582,0.037806912842621776,0.6393155281178681
Model2,wide,sigma_alpha,0.2954520599012053,0.3836362320509542,0.009902652921226607,0.16139417513880933,1.4018349591290742,1.0021671603974323,0.2204388702408151,0.2560014725082582,0.07501318966039022,1.4985704116939353
