parameter,mean_nuts,sd_nuts,q025_nuts,q50_nuts,q975_nuts,mean_vi,sd_vi,q025_vi,q50_vi,q975_vi,abs_mean_diff,sd_ratio_vi_to_nuts
beta[5],0.3248317306261081,0.19773124089567987,-0.06705167925759578,0.32841230764504326,0.7025216459074611,0.264414299473,0.13146992336376465,0.012835805000000002,0.262628,0.530593875,0.0604174311531081,0.664892015891036
beta[2],-0.26567075689411473,0.04223476297259045,-0.3473286057287759,-0.26601217405072286,-0.18174252213759515,-0.298195475,0.04525861495736298,-0.38704477500000006,-0.298663,-0.2110698,0.03252471810588525,1.071596281639723
beta[6],0.00689473556953298,0.17375999018041985,-0.33191901549537955,0.00483400036206422,0.3429639857455677,0.033484227830825,0.09416929484207988,-0.152504375,0.0327935,0.22114022500000005,0.02658949226129202,0.5419503922870925
beta[11],0.14295997980909314,0.13558405988975292,-0.1193459107016942,0.1389309571843501,0.4108776374342129,0.12016490632175,0.09676759777748313,-0.07561557249999999,0.121114,0.31206097499999996,0.022795073487343137,0.7137092506019328
beta[8],-0.23256870510144192,0.08238620890674511,-0.3940791116101157,-0.23294080330353015,-0.07148705530736954,-0.246211356385,0.06633706955240681,-0.37425777499999996,-0.2474675,-0.11876767499999998,0.013642651283558072,0.805196287493885
beta[10],0.06248816339339583,0.1265496714535673,-0.182189632113199,0.06079875875323223,0.306037102888412,0.0724639211904,0.07410267483838101,-0.07275898999999998,0.07285069999999999,0.21518322500000003,0.009975757797004173,0.5855619693613368
c[1],-1.7009331112225223,0.2192966730414242,-2.147244548984399,-1.6963741701965624,-1.280815128341381,-1.692393575,0.04395189260754672,-1.7785465,-1.69275,-1.6045744999999998,0.008539536222522237,0.20042206750325117
beta[7],-0.20438832714021143,0.18661633889463455,-0.5707449917605404,-0.20183506815241276,0.162596473063482,-0.2119360643889,0.1260390052801525,-0.454178125,-0.2129345,0.039035425000000006,0.0075477372486885685,0.6753910511089566
beta[3],0.02200629573078484,0.04465764944612097,-0.06540146858464829,0.02113511096454485,0.11085245600061149,0.028189201075575,0.043366814850832616,-0.0584354925,0.02850455,0.11256997500000002,0.006182905344790161,0.9710948827065846
beta[4],0.1639782609625206,0.16106285141872576,-0.15412164388439217,0.16384186477071194,0.4845077244178965,0.16854282068975,0.06806272005599746,0.039067325,0.16863,0.301205325,0.004564559727229384,0.42258484471413155
beta[1],-0.03070302906328815,0.0278905049128945,-0.0866211445793599,-0.03021711801812136,0.02250427961208911,-0.02812084209125,0.0106113371139031,-0.049174169999999996,-0.02816625,-0.007499060749999991,0.002582186972038148,0.38046414530836287
c[2],1.010327456122469,0.21420694899436837,0.5804020259197247,1.0097067343326382,1.4257375748427918,1.0121155085,0.06356996113919083,0.8876807,1.01156,1.1382225000000001,0.0017880523775308799,0.29676890239850306
beta[9],0.2222399620825331,0.13399359896707563,-0.04291764507978183,0.22175906397202205,0.490465324403176,0.22184410509725,0.0929726184532882,0.038248287500000006,0.2203635,0.401409625,3.958569852831051e-4,0.6938586557118528
